gene	type
KRTAP10-9	im_GMK
MED26	im_GMK
LGALS3	im_GMK
GLP2R	im_GMK
RBCK1	im_GMK
MTUS1	im_GMK
GOLGA6A	im_GMK
SPRED3	im_GMK
SCRN2	im_GMK
ASB16	im_GMK
RHOT1	im_GMK
PLXNA4	im_GMK
SYTL2	im_GMK
MYO6	im_GMK
CAMK2G	im_GMK
IL16	im_GMK
ZNF561	im_GMK
KDELR2	im_GMK
KIAA1671	im_GMK
HRASLS5	im_GMK
ERMP1	im_GMK
TMPRSS3	im_GMK
CACNA1C	im_GMK
SUGP2	im_GMK
PA2G4	im_GMK
SSSCA1-AS1	im_GMK
MAPRE3	im_GMK
FGD3	im_GMK
ALCAM	im_GMK
CEBPE	im_GMK
C3orf84	im_GMK
METTL8	im_GMK
LIM2	im_GMK
PRCC	im_GMK
H2AFY	im_GMK
LMBRD1	im_GMK
AXIN2	im_GMK
SMG6-IT1	im_GMK
CAPZA2	im_GMK
MTA2	im_GMK
GNG10	im_GMK
EXTL1	im_GMK
FLCN	im_GMK
TNFRSF10C	im_GMK
ST3GAL3	im_GMK
ZNF646	im_GMK
SCYL3	im_GMK
CELA3A	im_GMK
MAGED2	im_GMK
DCDC2	im_GMK
LOC645645	im_GMK
ST8SIA6-AS1	im_GMK
RBKS	im_GMK
ATP8B3	im_GMK
STX6	im_GMK
TMEM19	im_GMK
U2AF1L4	im_GMK
KIT	im_GMK
DHCR24	im_GMK
RMI2	im_GMK
PADI2	im_GMK
PPARG	im_GMK
ARMC10	im_GMK
CEP83	im_GMK
FLJ41170	im_GMK
KIF21B	im_GMK
FLJ42022	im_GMK
ATP6V0D1	im_GMK
ZNF358	im_GMK
CCDC57	im_GMK
TAF7L	im_GMK
AMIGO2	im_GMK
ANKRD44	im_GMK
TMEM54	im_GMK
SLC8A2	im_GMK
PDLIM4	im_GMK
GPR161	im_GMK
RTP4	im_GMK
TET1	im_GMK
MATK	im_GMK
FETUB	im_GMK
EPHX2	im_GMK
GCNT2	im_GMK
UNC119B	im_GMK
KRT83	im_GMK
TBATA	im_GMK
MTMR14	im_GMK
C5orf58	im_GMK
OR8H1	im_GMK
BMS1	im_GMK
MDFI	im_GMK
NELFB	im_GMK
